id	qrCode	productName	category	brand	modelNumber	serialNumber	rentalPrice
STLR-CAM-001	STLR-CAM-001	Sony A7M5	Camera	Sony	A7M5	4107955	2500
STLR-CAM-002	STLR-CAM-002	Sony A7M4	Camera	Sony	A7M4	8461511	2000
STLR-CAM-003	STLR-CAM-003	Sony A7M4	Camera	Sony	A7M4	8461499	2000
STLR-CAM-004	STLR-CAM-004	Sony A7M4	Camera	Sony	A7M4	8462525	2000
STLR-CAM-005	STLR-CAM-005	Sony A7M4	Camera	Sony	A7M4	8432741	2000
STLR-CAM-006	STLR-CAM-006	Sony A7M4	Camera	Sony	A7M4	8461692	2000
STLR-CAM-007	STLR-CAM-007	Sony A7M4	Camera	Sony	A7M4	8462520	2000
STLR-CAM-008	STLR-CAM-008	Sony A7M4	Camera	Sony	A7M4	7225471	2000
STLR-CAM-009	STLR-CAM-009	Sony A7M4	Camera	Sony	A7M4	8459699	2000
STLR-CAM-010	STLR-CAM-010	Sony A7M4	Camera	Sony	A7M4	8444281	2000
STLR-CAM-011	STLR-CAM-011	Sony A7M4	Camera	Sony	A7M4	8462526	2000
STLR-CAM-012	STLR-CAM-012	Sony A7M4	Camera	Sony	A7M4	8432769	2000
STLR-CAM-013	STLR-CAM-013	Sony A7M3	Camera	Sony	A7M3	8425693	1500
STLR-CAM-014	STLR-CAM-014	Sony A7M3	Camera	Sony	A7M3	5672831	1500
STLR-CAM-013	STLR-CAM-013	Conon EOS R 	Camera	Canon	EOS R	252027000897	1500
STLR-CAM-014	STLR-CAM-014	Canon EOS R6	Camera	Canon	EOS R6 M1	DS126832	1500
STLR-CAM-015	STLR-CAM-015	Insta360 X5 8K 360 Action Camera	Camera	Insta360	Insta360 X5	STLRI360X5001	700
STLR-CAM-016	STLR-CAM-016	Iphone 17Pro 	Camera	Apple	Iphone 17Pro (Blue)	STLRI17001	800
STLR-CAM-017	STLR-CAM-017	Iphone 17Pro 	Camera	Apple	Iphone 17Pro (White)	STLRI17002	800
STLR-GBL-001	STLR-GBL-001	DJI RS5	Gimbal	DJI	RS5	STLRRS005	1200
STLR-GBL-002	STLR-GBL-002	DJI RS4	Gimbal	DJI	RS4	STLRRS0401	800
STLR-GBL-003	STLR-GBL-003	DJI RS4	Gimbal	DJI	RS4	STLRRS0402	800
STLR-GBL-004	STLR-GBL-004	DJI RS4	Gimbal	DJI	RS4	STLRRS0403	800
STLR-GBL-005	STLR-GBL-005	DJI RS4	Gimbal	DJI	RS4 	STLRRS0404	800
STLR-GBL-006	STLR-GBL-006	DJI RS2 PRO	Gimbal	DJI	RS 2 PRO	STLRRS0201	800
STKR-GBL-007	STKR-GBL-007	Insta Flow 3 Mobile Gimbal	Gimbal	Insta360	Flow 3	STLRIF3001	600
STLR-LNS-00	STLR-LNS-001	GM 24-70MM F2.8	Lens	G-Master	24-70mm f2.8	STLGM2470	800
STLR-LNS-002	STLR-LNS-002	GM 85MM F1.4	Lens	G-Master	85MM F1.4	STLGM8500	800
STLR-LNS-003	STLR-LNS-003	GM 35MM F1.4	Lens	G-Master	35MM F1.4	STLGM3500	800
STLR-LNS-004	STLR-LNS-004	GM 50MM F1.4	Lens	G-Master	50MM F1.4	STLGM5000	800
STLR-LNS-005	STLR-LNS-005	GM 24MM F1.4	Lens	G-Master	24MM F1.4	STLGM2400	800
STLR-LNS-006	STLR-LNS-006	G 20MM F1.8	Lens	G	20MM F1.8	STLGM2000	800
STLR-LNS-007	STLR-LNS-007	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85001	800
STLR-LNS-008	STLR-LNS-008	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85002	800
STLR-LNS-009	STLR-LNS-009	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85003	800
STLR-LNS-0010	STLR-LNS-0010	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85004	800
STLR-LNS-011	STLR-LNS-011	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85005	800
STLR-LNS-012	STLR-LNS-012	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85006	800
STLR-LNS-013	STLR-LNS-013	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85007	800
STLR-LNS-014	STLR-LNS-014	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85008	800
STLR-LNS-015	STLR-LNS-015	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85009	800
STLR-LNS-016	STLR-LNS-016	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85010	800
STLR-LNS-017	STLR-LNS-017	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85011	800
STLR-LNS-018	STLR-LNS-018	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85012	800
STLR-LNS-019	STLR-LNS-019	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85013	800
STLR-LNS-020	STLR-LNS-020	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85014	800
STLR-LNS-021	STLR-LNS-021	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85015	800
STLR-LNS-022	STLR-LNS-022	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85016	800
STLR-LNS-023	STLR-LNS-023	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85017	800
STLR-LNS-024	STLR-LNS-024	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85018	800
STLR-LNS-025	STLR-LNS-025	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35001	700
STLR-LNS-026	STLR-LNS-026	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35002	700
